language,trait,value
csharp,keyword,volatile
csharp,keyword,while
csharp,ternary-operator,:?
csharp,ternary-precedence,2
csharp,binary-operator,*
csharp,binary-precedence,12
csharp,binary-operator,/
csharp,binary-precedence,12
csharp,binary-operator,%
csharp,binary-precedence,12
csharp,binary-operator,+
csharp,binary-precedence,11
csharp,binary-operator,-
csharp,binary-precedence,11
csharp,binary-operator,<<
csharp,binary-precedence,10
csharp,binary-operator,>>
csharp,binary-precedence,10
csharp,binary-operator,<
csharp,binary-precedence,9
csharp,binary-operator,>
csharp,binary-precedence,9
csharp,binary-operator,<=
csharp,binary-precedence,9
csharp,binary-operator,>=
csharp,binary-precedence,9
csharp,binary-operator,isas
csharp,binary-precedence,9
csharp,binary-operator,==
csharp,binary-precedence,8
csharp,binary-operator,!=
csharp,binary-precedence,8
csharp,binary-operator,&
csharp,binary-precedence,7
csharp,binary-operator,^
csharp,binary-precedence,6
csharp,binary-operator,|
csharp,binary-precedence,5
csharp,binary-operator,&&
csharp,binary-precedence,4
csharp,binary-operator,||
csharp,binary-precedence,3
csharp,binary-operator,=
csharp,binary-precedence,1
csharp,binary-operator,*=
csharp,binary-precedence,1
csharp,binary-operator,/=
csharp,binary-precedence,1
csharp,binary-operator,%=
csharp,binary-precedence,1
csharp,binary-operator,+=
csharp,binary-precedence,1
csharp,binary-operator,-=
csharp,binary-precedence,1
csharp,binary-operator,<<=
csharp,binary-precedence,1
csharp,binary-operator,>>=
csharp,binary-precedence,1
csharp,binary-operator,&=
csharp,binary-precedence,1
csharp,binary-operator,^=
csharp,binary-precedence,1
csharp,binary-operator,|=
csharp,binary-precedence,1
csharp,unary-operator,+
csharp,unary-precedence,13
csharp,unary-operator,-
csharp,unary-precedence,13
csharp,unary-operator,!
csharp,unary-precedence,13
csharp,unary-operator,~
csharp,unary-precedence,13
csharp,unary-operator,++
csharp,unary-precedence,13
csharp,unary-operator,--
csharp,unary-precedence,13
csharp,function-definition,overloaded
csharp,function-definition,arguments-type-checked
csharp,function-definition,default-value
csharp,function-definition,named-parameter
csharp,function-definition,pass-by-value
csharp,function-definition,pass-by-reference
d,wikipedia,multi-paradigm
d,wikipedia,system
d,keyword,abstract
d,keyword,alias
d,keyword,align
d,keyword,asm
d,keyword,assert
d,keyword,auto
d,keyword,body
d,keyword,bool
d,keyword,break
d,keyword,byte
d,keyword,case
d,keyword,cast
d,keyword,catch
d,keyword,char
d,keyword,class
d,keyword,const
d,keyword,continue
d,keyword,creal
d,keyword,dchar
d,keyword,debug
d,keyword,default
d,keyword,delegate
d,keyword,delete
d,keyword,deprecated
d,keyword,do
d,keyword,double
d,keyword,else
d,keyword,enum
d,keyword,export
d,keyword,extern
d,keyword,false
d,keyword,final
d,keyword,finally
d,keyword,float
d,keyword,for
d,keyword,foreach
d,keyword,foreach_reverse
d,keyword,function
d,keyword,goto
d,keyword,if
d,keyword,immutable
d,keyword,import
d,keyword,in
d,keyword,inout
d,keyword,int
d,keyword,interface
d,keyword,invariant
d,keyword,is
d,keyword,lazy
d,keyword,long
d,keyword,macro
d,keyword,mixin
d,keyword,module
d,keyword,new
d,keyword,nothrow
d,keyword,null
d,keyword,out
d,keyword,override
d,keyword,package
d,keyword,pragma
d,keyword,private
d,keyword,protected
d,keyword,public
d,keyword,pure
d,keyword,real
d,keyword,ref
d,keyword,return
d,keyword,scope
d,keyword,shared
d,keyword,short
d,keyword,static
d,keyword,struct
d,keyword,super
d,keyword,switch
d,keyword,synchronized
d,keyword,template
d,keyword,this
d,keyword,throw
d,keyword,true
d,keyword,try
d,keyword,typeid
d,keyword,typeof
d,keyword,ubyte
d,keyword,uint
d,keyword,ulong
d,keyword,union
d,keyword,unittest
d,keyword,ushort
d,keyword,version
d,keyword,void
d,keyword,wchar
d,keyword,while
d,keyword,with
d,keyword,__FILE__
d,keyword,__FILE_FULL_PATH__
d,keyword,__MODULE__
d,keyword,__LINE__
d,keyword,__FUNCTION__
d,keyword,__PRETTY_FUNCTION__
d,keyword,__gshared
d,keyword,__traits
d,keyword,__vector
d,keyword,__parameters
d,ternary-operator,?:
d,ternary-precedence,4
d,binary-operator,=>
d,binary-precedence,16
d,binary-operator,.
d,binary-precedence,15
d,binary-operator,[]
d,binary-precedence,15
d,binary-operator,^^
d,binary-precedence,14
d,binary-operator,*
d,binary-precedence,12
d,binary-operator,/
d,binary-precedence,12
d,binary-operator,%
d,binary-precedence,12
d,binary-operator,+
d,binary-precedence,11
d,binary-operator,-
d,binary-precedence,11
d,binary-operator,~
d,binary-precedence,11
d,binary-operator,<<
d,binary-precedence,10
d,binary-operator,>>
d,binary-precedence,10
d,binary-operator,>>>
d,binary-precedence,10
d,binary-operator,==
d,binary-precedence,7
d,binary-operator,!=
d,binary-precedence,7
d,binary-operator,>
d,binary-precedence,7
d,binary-operator,<
d,binary-precedence,7
d,binary-operator,>=
d,binary-precedence,7
d,binary-operator,<=
d,binary-precedence,7
d,binary-operator,!>
d,binary-precedence,7
d,binary-operator,!<
d,binary-precedence,7
d,binary-operator,!>=
d,binary-precedence,7
d,binary-operator,!<=
d,binary-precedence,7
d,binary-operator,<>
d,binary-precedence,7
d,binary-operator,!<>
d,binary-precedence,7
d,binary-operator,<>=
d,binary-precedence,7
d,binary-operator,!<>=
d,binary-precedence,7
d,binary-operator,in
d,binary-precedence,7
d,binary-operator,!in
d,binary-precedence,7
d,binary-operator,is
d,binary-precedence,7
d,binary-operator,!is
d,binary-precedence,7
d,binary-operator,&
d,binary-precedence,9
d,binary-operator,^
d,binary-precedence,8
d,binary-operator,|
d,binary-precedence,7
d,binary-operator,&&
d,binary-precedence,6
d,binary-operator,||
d,binary-precedence,5
d,binary-operator,=
d,binary-precedence,3
d,binary-operator,-=
d,binary-precedence,3
d,binary-operator,+=
d,binary-precedence,3
d,binary-operator,<<=
d,binary-precedence,3
d,binary-operator,>>=
d,binary-precedence,3
d,binary-operator,>>>=
d,binary-precedence,3
d,binary-operator,/=
d,binary-precedence,3
d,binary-operator,*=
d,binary-precedence,3
d,binary-operator,%=
d,binary-precedence,3
d,binary-operator,^=
d,binary-precedence,3
d,binary-operator,^^=
d,binary-precedence,3
d,binary-operator,~=
d,binary-precedence,3
d,binary-operator,","
d,binary-precedence,1
d,unary-operator,&
d,unary-precedence,13
d,unary-operator,++
d,unary-precedence,13
d,unary-operator,--
d,unary-precedence,13
d,unary-operator,*
d,unary-precedence,13
d,unary-operator,+
d,unary-precedence,13
d,unary-operator,-
d,unary-precedence,13
d,unary-operator,!
d,unary-precedence,13
d,unary-operator,~
d,unary-precedence,13
d,function-definition,overloaded
d,function-definition,arguments-type-checked
d,function-definition,named-parameter
d,function-definition,variadic-arguments
d,function-definition,pass-by-value
d,function-definition,pass-by-reference
d,function-definition,pass-by-out
eiffel,wikipedia,object-oriented
eiffel,keyword,across
eiffel,keyword,agent
eiffel,keyword,alias
eiffel,keyword,all
eiffel,keyword,and
eiffel,keyword,as
eiffel,keyword,assign
eiffel,keyword,attribute
eiffel,keyword,check
eiffel,keyword,class
eiffel,keyword,convert
eiffel,keyword,create
eiffel,keyword,Current
eiffel,keyword,debug
eiffel,keyword,deferred
eiffel,keyword,do
eiffel,keyword,else
eiffel,keyword,elseif
eiffel,keyword,end
eiffel,keyword,ensure
eiffel,keyword,expanded
eiffel,keyword,export
eiffel,keyword,external
eiffel,keyword,False
eiffel,keyword,feature
eiffel,keyword,from
eiffel,keyword,frozen
eiffel,keyword,if
eiffel,keyword,inherit
eiffel,keyword,implies
eiffel,keyword,inspect
eiffel,keyword,invariant
eiffel,keyword,like
eiffel,keyword,local
eiffel,keyword,loop
eiffel,keyword,not
eiffel,keyword,note
eiffel,keyword,obsolete
eiffel,keyword,old
eiffel,keyword,once
eiffel,keyword,only
eiffel,keyword,or
eiffel,keyword,redefine
eiffel,keyword,rename
eiffel,keyword,require
eiffel,keyword,rescue
eiffel,keyword,Result
eiffel,keyword,retry
eiffel,keyword,select
eiffel,keyword,separate
eiffel,keyword,then
eiffel,keyword,True
eiffel,keyword,TUPLE
eiffel,keyword,undefine
eiffel,keyword,until
eiffel,keyword,variant
eiffel,keyword,Void
eiffel,keyword,xor
eiffel,binary-operator,.
eiffel,binary-precedence,13
eiffel,binary-operator,^
eiffel,binary-precedence,10
eiffel,binary-operator,*
eiffel,binary-precedence,9
eiffel,binary-operator,/
eiffel,binary-precedence,9
eiffel,binary-operator,//
eiffel,binary-precedence,9
eiffel,binary-operator,\\
eiffel,binary-precedence,9
eiffel,binary-operator,+
eiffel,binary-precedence,8
eiffel,binary-operator,-
eiffel,binary-precedence,8
eiffel,binary-operator,..
eiffel,binary-precedence,7
eiffel,binary-operator,=
eiffel,binary-precedence,6
eiffel,binary-operator,/=
eiffel,binary-precedence,6
eiffel,binary-operator,~
eiffel,binary-precedence,6
eiffel,binary-operator,/~
eiffel,binary-precedence,6
eiffel,binary-operator,<
eiffel,binary-precedence,6
eiffel,binary-operator,>
eiffel,binary-precedence,6
eiffel,binary-operator,<=
eiffel,binary-precedence,6
eiffel,binary-operator,>=
eiffel,binary-precedence,6
eiffel,binary-operator,and
eiffel,binary-precedence,5
eiffel,binary-operator,andthen
eiffel,binary-precedence,5
eiffel,binary-operator,or
eiffel,binary-precedence,4
eiffel,binary-operator,orelse
eiffel,binary-precedence,4
eiffel,binary-operator,xor
eiffel,binary-precedence,4
eiffel,binary-operator,implies
eiffel,binary-precedence,3
eiffel,binary-operator,[]
eiffel,binary-precedence,2
eiffel,unary-operator,old
eiffel,unary-precedence,12
eiffel,unary-operator,not
eiffel,unary-precedence,12
eiffel,unary-operator,+
eiffel,unary-precedence,12
eiffel,unary-operator,-
eiffel,unary-precedence,12
eiffel,function-definition,arguments-type-checked
eiffel,function-definition,pass-by-value
fortran77,wikipedia,general-purpose
fortran77,wikipedia,compiled
fortran77,wikipedia,imperative
fortran77,keyword,assign
fortran77,keyword,backspace
fortran77,keyword,block
fortran77,keyword,call
fortran77,keyword,close
fortran77,keyword,common
fortran77,keyword,continue
fortran77,keyword,data
fortran77,keyword,dimension
fortran77,keyword,do
fortran77,keyword,else
fortran77,keyword,end
fortran77,keyword,endfile
fortran77,keyword,endif
fortran77,keyword,entry
fortran77,keyword,equivalence
fortran77,keyword,external
fortran77,keyword,format
fortran77,keyword,function
fortran77,keyword,goto
fortran77,keyword,if
fortran77,keyword,implicit
fortran77,keyword,inquire
fortran77,keyword,intrinsic
fortran77,keyword,open
fortran77,keyword,parameter
fortran77,keyword,pause
fortran77,keyword,print
fortran77,keyword,program
fortran77,keyword,read
fortran77,keyword,return
fortran77,keyword,rewind
fortran77,keyword,rewrite
fortran77,keyword,save
fortran77,keyword,stop
fortran77,keyword,subroutine
fortran77,keyword,then
fortran77,keyword,write
fortran77,binary-operator,**
fortran77,binary-precedence,11
fortran77,binary-operator,*
fortran77,binary-precedence,10
fortran77,binary-operator,/
fortran77,binary-precedence,10
fortran77,binary-operator,+
fortran77,binary-precedence,8
fortran77,binary-operator,-
fortran77,binary-precedence,8
fortran77,binary-operator,.eq.
fortran77,binary-precedence,5
fortran77,binary-operator,.ge.
fortran77,binary-precedence,5
fortran77,binary-operator,.gt.
fortran77,binary-precedence,5
fortran77,binary-operator,.le.
fortran77,binary-precedence,5
fortran77,binary-operator,.lt.
fortran77,binary-precedence,5
fortran77,binary-operator,.ne.
fortran77,binary-precedence,5
fortran77,binary-operator,==
fortran77,binary-precedence,5
fortran77,binary-operator,>=
fortran77,binary-precedence,5
fortran77,binary-operator,>
fortran77,binary-precedence,5
fortran77,binary-operator,<=
fortran77,binary-precedence,5
fortran77,binary-operator,<
fortran77,binary-precedence,5
fortran77,binary-operator,/=
fortran77,binary-precedence,5
fortran77,binary-operator,.and.
fortran77,binary-precedence,3
fortran77,binary-operator,&
fortran77,binary-precedence,3
fortran77,binary-operator,.or.
fortran77,binary-precedence,2
fortran77,binary-operator,|
fortran77,binary-precedence,2
fortran77,binary-operator,.eqv.
fortran77,binary-precedence,1
fortran77,binary-operator,.neqv.
fortran77,binary-precedence,1
fortran77,unary-operator,.not.
fortran77,unary-precedence,12
fortran77,unary-operator,+
fortran77,unary-precedence,9
fortran77,unary-operator,=
fortran77,unary-precedence,9
fortran77,function-definition,arguments-not-checked
fortran77,function-definition,pass-by-reference
haskell,wikipedia,general-purpose
haskell,wikipedia,statically-typed
haskell,wikipedia,purely
haskell,wikipedia,functional
haskell,keyword,as
haskell,keyword,case
haskell,keyword,class
haskell,keyword,data
haskell,keyword,default
haskell,keyword,deriving
haskell,keyword,do
haskell,keyword,else
haskell,keyword,family
haskell,keyword,forall
haskell,keyword,foreign
haskell,keyword,hiding
haskell,keyword,if
haskell,keyword,import
haskell,keyword,in
haskell,keyword,infix
haskell,keyword,infixl
haskell,keyword,infixr
haskell,keyword,instance
haskell,keyword,let
haskell,keyword,mdo
haskell,keyword,module
haskell,keyword,newtype
haskell,keyword,of
haskell,keyword,proc
haskell,keyword,qualified
haskell,keyword,rec
haskell,keyword,then
haskell,keyword,type
haskell,keyword,where
haskell,binary-operator,.
haskell,binary-precedence,11
haskell,binary-operator,^
haskell,binary-precedence,10
haskell,binary-operator,^^
haskell,binary-precedence,10
haskell,binary-operator,**
haskell,binary-precedence,10
haskell,binary-operator,*
haskell,binary-precedence,9
haskell,binary-operator,/
haskell,binary-precedence,9
haskell,binary-operator,quot
haskell,binary-precedence,9
haskell,binary-operator,rem
haskell,binary-precedence,9
haskell,binary-operator,div
haskell,binary-precedence,9
haskell,binary-operator,mod
haskell,binary-precedence,9
haskell,binary-operator,+
haskell,binary-precedence,8
haskell,binary-operator,-
haskell,binary-precedence,8
haskell,binary-operator,:
haskell,binary-precedence,7
haskell,binary-operator,==
haskell,binary-precedence,6
haskell,binary-operator,/=
haskell,binary-precedence,6
haskell,binary-operator,<
haskell,binary-precedence,6
haskell,binary-operator,<=
haskell,binary-precedence,6
haskell,binary-operator,>=
haskell,binary-precedence,6
haskell,binary-operator,>
haskell,binary-precedence,6
haskell,binary-operator,&&
haskell,binary-precedence,5
haskell,binary-operator,||
haskell,binary-precedence,4
haskell,binary-operator,>>
haskell,binary-precedence,2
haskell,binary-operator,>>=
haskell,binary-precedence,2
haskell,binary-operator,=<<
haskell,binary-precedence,2
haskell,binary-operator,$
haskell,binary-precedence,1
haskell,binary-operator,$!
haskell,binary-precedence,1
haskell,binary-operator,seq
haskell,binary-precedence,1
haskell,function-definition,arguments-type-checked
haskell,function-definition,pass-by-value
javascript,wikipedia,is-a
javascript,keyword,abstract
javascript,keyword,arguments
javascript,keyword,await
javascript,keyword,boolean
javascript,keyword,break
javascript,keyword,byte
javascript,keyword,case
javascript,keyword,catch
javascript,keyword,char
javascript,keyword,class
javascript,keyword,const
javascript,keyword,continue
javascript,keyword,debugger
javascript,keyword,default
javascript,keyword,delete
javascript,keyword,do
javascript,keyword,double
javascript,keyword,else
javascript,keyword,enum
javascript,keyword,eval
javascript,keyword,export
javascript,keyword,extends
javascript,keyword,false
javascript,keyword,final
javascript,keyword,finally
javascript,keyword,float
javascript,keyword,for
javascript,keyword,function
javascript,keyword,goto
javascript,keyword,if
javascript,keyword,implements
javascript,keyword,import
javascript,keyword,in
javascript,keyword,instanceof
javascript,keyword,int
javascript,keyword,interface
javascript,keyword,let
javascript,keyword,long
javascript,keyword,native
javascript,keyword,new
javascript,keyword,null
javascript,keyword,package
javascript,keyword,private
javascript,keyword,protected
javascript,keyword,public
javascript,keyword,return
javascript,keyword,short
javascript,keyword,static
javascript,keyword,super
javascript,keyword,switch
javascript,keyword,synchronized
javascript,keyword,this
javascript,keyword,throw
javascript,keyword,throws
javascript,keyword,transient
javascript,keyword,true
javascript,keyword,try
javascript,keyword,typeof
javascript,keyword,var
javascript,keyword,void
javascript,keyword,volatile
javascript,keyword,while
javascript,keyword,with
javascript,keyword,yield
javascript,ternary-operator,?:
javascript,ternary-precedence,4
javascript,binary-operator,.
javascript,binary-precedence,17
javascript,binary-operator,[]
javascript,binary-precedence,17
javascript,binary-operator,new
javascript,binary-precedence,17
javascript,binary-operator,()
javascript,binary-precedence,17
javascript,binary-operator,**
javascript,binary-precedence,15
javascript,binary-operator,*
javascript,binary-precedence,14
javascript,binary-operator,/
javascript,binary-precedence,14
javascript,binary-operator,%
javascript,binary-precedence,14
javascript,binary-operator,+
javascript,binary-precedence,13
javascript,binary-operator,-
javascript,binary-precedence,13
javascript,binary-operator,<<
javascript,binary-precedence,12
javascript,binary-operator,>>
javascript,binary-precedence,12
javascript,binary-operator,>>>
javascript,binary-precedence,12
javascript,binary-operator,<
javascript,binary-precedence,11
javascript,binary-operator,<=
javascript,binary-precedence,11
javascript,binary-operator,>
javascript,binary-precedence,11
javascript,binary-operator,>=
javascript,binary-precedence,11
javascript,binary-operator,in
javascript,binary-precedence,11
javascript,binary-operator,instanceof
javascript,binary-precedence,11
javascript,binary-operator,==
javascript,binary-precedence,10
javascript,binary-operator,!=
javascript,binary-precedence,10
javascript,binary-operator,===
javascript,binary-precedence,10
javascript,binary-operator,!==
javascript,binary-precedence,10
javascript,binary-operator,&
javascript,binary-precedence,9
javascript,binary-operator,^
javascript,binary-precedence,8
javascript,binary-operator,|
javascript,binary-precedence,7
javascript,binary-operator,&&
javascript,binary-precedence,6
javascript,binary-operator,||
javascript,binary-precedence,5
javascript,binary-operator,=
javascript,binary-precedence,3
javascript,binary-operator,+=
javascript,binary-precedence,3
javascript,binary-operator,-=
javascript,binary-precedence,3
javascript,binary-operator,*=
javascript,binary-precedence,3
javascript,binary-operator,/=
javascript,binary-precedence,3
javascript,binary-operator,%=
javascript,binary-precedence,3
javascript,binary-operator,<<=
javascript,binary-precedence,3
javascript,binary-operator,>>=
javascript,binary-precedence,3
javascript,binary-operator,>>>=
javascript,binary-precedence,3
javascript,binary-operator,&=
javascript,binary-precedence,3
javascript,binary-operator,^=
javascript,binary-precedence,3
javascript,binary-operator,|=
javascript,binary-precedence,3
javascript,binary-operator,yield
javascript,binary-precedence,2
javascript,binary-operator,","
javascript,binary-precedence,1
javascript,unary-operator,++
javascript,unary-precedence,16
javascript,unary-operator,--
javascript,unary-precedence,16
javascript,unary-operator,—
javascript,unary-precedence,16
javascript,unary-operator,!
javascript,unary-precedence,16
javascript,unary-operator,typeof
javascript,unary-precedence,16
javascript,function-definition,named-parameter
javascript,function-definition,scalar-by-value
javascript,function-definition,object-by-reference
java,wikipedia,high-level
java,wikipedia,class-based
java,wikipedia,object-oriented
java,keyword,abstract
java,keyword,assert
java,keyword,boolean
java,keyword,break
java,keyword,byte
java,keyword,case
java,keyword,catch
java,keyword,char
java,keyword,class
java,keyword,const
java,keyword,continue
java,keyword,default
java,keyword,do
java,keyword,double
java,keyword,else
java,keyword,enum
java,keyword,extends
java,keyword,final
java,keyword,finally
java,keyword,float
java,keyword,for
java,keyword,goto
java,keyword,if
java,keyword,implements
java,keyword,import
java,keyword,instanceof
java,keyword,int
java,keyword,interface
java,keyword,long
java,keyword,native
java,keyword,new
java,keyword,package
java,keyword,private
java,keyword,protected
java,keyword,public
java,keyword,return
java,keyword,short
java,keyword,static
java,keyword,strictfp
java,keyword,super
java,keyword,switch
java,keyword,synchronized
java,keyword,this
java,keyword,throw
java,keyword,throws
java,keyword,transient
java,keyword,try
java,keyword,var
java,keyword,void
java,keyword,volatile
java,keyword,while
java,ternary-operator,?:
java,ternary-precedence,2
java,binary-operator,()
java,binary-precedence,15
java,binary-operator,[]
java,binary-precedence,15
java,binary-operator,.
java,binary-precedence,15
java,binary-operator,*
java,binary-precedence,12
java,binary-operator,/
java,binary-precedence,12
java,binary-operator,%
java,binary-precedence,12
java,binary-operator,+
java,binary-precedence,11
java,binary-operator,-
java,binary-precedence,11
java,binary-operator,<<
java,binary-precedence,10
java,binary-operator,>>
java,binary-precedence,10
java,binary-operator,>>>
java,binary-precedence,10
java,binary-operator,<
java,binary-precedence,9
java,binary-operator,<=
java,binary-precedence,9
java,binary-operator,>
java,binary-precedence,9
java,binary-operator,>=
java,binary-precedence,9
java,binary-operator,instanceof
java,binary-precedence,9
java,binary-operator,==
java,binary-precedence,8
java,binary-operator,!=
java,binary-precedence,8
java,binary-operator,&
java,binary-precedence,7
java,binary-operator,^
java,binary-precedence,6
java,binary-operator,|
java,binary-precedence,5
java,binary-operator,&&
java,binary-precedence,4
java,binary-operator,||
java,binary-precedence,3
java,binary-operator,=
java,binary-precedence,1
java,binary-operator,+=
java,binary-precedence,1
java,binary-operator,-=
java,binary-precedence,1
java,binary-operator,*=
java,binary-precedence,1
java,binary-operator,/=
java,binary-precedence,1
java,binary-operator,%=
java,binary-precedence,1
java,binary-operator,<<=
java,binary-precedence,1
java,binary-operator,>>=
java,binary-precedence,1
java,binary-operator,>>>=
java,binary-precedence,1
java,binary-operator,&=
java,binary-precedence,1
java,binary-operator,^=
java,binary-precedence,1
java,binary-operator,|=
java,binary-precedence,1
java,unary-operator,++
java,unary-precedence,14
java,unary-operator,--
java,unary-precedence,14
java,unary-operator,+
java,unary-precedence,13
java,unary-operator,-
java,unary-precedence,13
java,unary-operator,!
java,unary-precedence,13
java,unary-operator,~
java,unary-precedence,13
java,unary-operator,new
java,unary-precedence,13
java,function-definition,overloaded
java,function-definition,arguments-type-checked
java,function-definition,variadic-arguments
java,function-definition,scalar-by-value
java,function-definition,object-by-reference
lua,wikipedia,lightweight
lua,wikipedia,high-level
lua,wikipedia,multi-paradigm
lua,keyword,and
lua,keyword,break
lua,keyword,do
lua,keyword,else
lua,keyword,elseif
lua,keyword,end
lua,keyword,false
lua,keyword,for
lua,keyword,function
lua,keyword,if
lua,keyword,in
lua,keyword,local
lua,keyword,nil
lua,keyword,not
lua,keyword,or
lua,keyword,repeat
lua,keyword,return
lua,keyword,then
lua,keyword,true
lua,keyword,until
lua,keyword,while
lua,binary-operator,or
lua,binary-precedence,1
lua,binary-operator,and
lua,binary-precedence,2
lua,binary-operator,<
lua,binary-precedence,3
lua,binary-operator,<=
lua,binary-precedence,3
lua,binary-operator,>
lua,binary-precedence,3
lua,binary-operator,>=
lua,binary-precedence,3
lua,binary-operator,~=
lua,binary-precedence,3
lua,binary-operator,==
lua,binary-precedence,3
lua,binary-operator,..
lua,binary-precedence,4
lua,binary-operator,+
lua,binary-precedence,5
lua,binary-operator,-
lua,binary-precedence,5
lua,binary-operator,*
lua,binary-precedence,6
lua,binary-operator,/
lua,binary-precedence,6
lua,binary-operator,%
lua,binary-precedence,6
lua,binary-operator,^
lua,binary-precedence,8
lua,binary-operator,[]
lua,binary-precedence,9
lua,binary-operator,.
lua,binary-precedence,9
lua,binary-operator,()
lua,binary-precedence,9
lua,binary-operator,:
lua,binary-precedence,9
lua,unary-operator,not
lua,unary-precedence,7
lua,unary-operator,-
lua,unary-precedence,7
lua,function-definition,named-parameter
lua,function-definition,variadic-arguments
lua,function-definition,scalar-by-value
lua,function-definition,object-by-reference
ocaml,wikipedia,general-purpose
ocaml,wikipedia,multi-paradigm
ocaml,keyword,and
ocaml,keyword,as
ocaml,keyword,asr
ocaml,keyword,assert
ocaml,keyword,begin
ocaml,keyword,class
ocaml,keyword,constraint
ocaml,keyword,do
ocaml,keyword,done
ocaml,keyword,downto
ocaml,keyword,else
ocaml,keyword,end
ocaml,keyword,exception
ocaml,keyword,external
ocaml,keyword,false
ocaml,keyword,for
ocaml,keyword,fun
ocaml,keyword,function
ocaml,keyword,functor
ocaml,keyword,if
ocaml,keyword,in
ocaml,keyword,include
ocaml,keyword,inherit
ocaml,keyword,initializer
ocaml,keyword,land
ocaml,keyword,lazy
ocaml,keyword,let
ocaml,keyword,lor
ocaml,keyword,lsl
ocaml,keyword,lsr
ocaml,keyword,lxor
ocaml,keyword,match
ocaml,keyword,method
ocaml,keyword,mod
ocaml,keyword,module
ocaml,keyword,mutable
ocaml,keyword,new
ocaml,keyword,nonrec
ocaml,keyword,object
ocaml,keyword,of
ocaml,keyword,open
ocaml,keyword,or
ocaml,keyword,private
ocaml,keyword,rec
ocaml,keyword,sig
ocaml,keyword,struct
ocaml,keyword,then
ocaml,keyword,to
ocaml,keyword,true
ocaml,keyword,try
ocaml,keyword,type
ocaml,keyword,val
ocaml,keyword,virtual
ocaml,keyword,when
ocaml,keyword,while
ocaml,keyword,with
ocaml,binary-operator,()
ocaml,binary-precedence,13
ocaml,binary-operator,**
ocaml,binary-precedence,12
ocaml,binary-operator,lsl
ocaml,binary-precedence,12
ocaml,binary-operator,lsr
ocaml,binary-precedence,12
ocaml,binary-operator,asr
ocaml,binary-precedence,12
ocaml,binary-operator,*
ocaml,binary-precedence,11
ocaml,binary-operator,/
ocaml,binary-precedence,11
ocaml,binary-operator,%
ocaml,binary-precedence,11
ocaml,binary-operator,mod
ocaml,binary-precedence,11
ocaml,binary-operator,land
ocaml,binary-precedence,11
ocaml,binary-operator,lor
ocaml,binary-precedence,11
ocaml,binary-operator,lxor
ocaml,binary-precedence,11
ocaml,binary-operator,+
ocaml,binary-precedence,10
ocaml,binary-operator,-
ocaml,binary-precedence,10
ocaml,binary-operator,::
ocaml,binary-precedence,9
ocaml,binary-operator,@
ocaml,binary-precedence,8
ocaml,binary-operator,^
ocaml,binary-precedence,8
ocaml,binary-operator,=
ocaml,binary-precedence,7
ocaml,binary-operator,<
ocaml,binary-precedence,7
ocaml,binary-operator,>
ocaml,binary-precedence,7
ocaml,binary-operator,|
ocaml,binary-precedence,7
ocaml,binary-operator,$
ocaml,binary-precedence,7
ocaml,binary-operator,!=
ocaml,binary-precedence,7
ocaml,binary-operator,&
ocaml,binary-precedence,6
ocaml,binary-operator,&&
ocaml,binary-precedence,6
ocaml,binary-operator,or
ocaml,binary-precedence,5
ocaml,binary-operator,||
ocaml,binary-precedence,5
ocaml,binary-operator,<-
ocaml,binary-precedence,3
ocaml,binary-operator,:=
ocaml,binary-precedence,3
ocaml,binary-operator,;
ocaml,binary-precedence,1
ocaml,unary-operator,-
ocaml,unary-precedence,13
ocaml,unary-operator,-.
ocaml,unary-precedence,13
ocaml,unary-operator,if
ocaml,unary-precedence,2
ocaml,function-definition,arguments-type-checked
ocaml,function-definition,named-parameter
ocaml,function-definition,pass-by-value
pascal,wikipedia,imperative
pascal,wikipedia,procedural
pascal,keyword,array
pascal,keyword,begin
pascal,keyword,break
pascal,keyword,case
pascal,keyword,const
pascal,keyword,div
pascal,keyword,do
pascal,keyword,downto
pascal,keyword,else
pascal,keyword,end
pascal,keyword,file
pascal,keyword,for
pascal,keyword,function
pascal,keyword,goto
pascal,keyword,if
pascal,keyword,in
pascal,keyword,label
pascal,keyword,mod
pascal,keyword,nil
pascal,keyword,not
pascal,keyword,of
pascal,keyword,on
pascal,keyword,packed
pascal,keyword,procedure
pascal,keyword,program
pascal,keyword,record
pascal,keyword,repeat
pascal,keyword,set
pascal,keyword,then
pascal,keyword,to
pascal,keyword,type
pascal,keyword,until
pascal,keyword,var
pascal,keyword,while
pascal,keyword,with
pascal,binary-operator,*
pascal,binary-precedence,3
pascal,binary-operator,/
pascal,binary-precedence,3
pascal,binary-operator,div
pascal,binary-precedence,3
pascal,binary-operator,mod
pascal,binary-precedence,3
pascal,binary-operator,and
pascal,binary-precedence,3
pascal,binary-operator,+
pascal,binary-precedence,2
pascal,binary-operator,-
pascal,binary-precedence,2
pascal,binary-operator,or
pascal,binary-precedence,2
pascal,binary-operator,=
pascal,binary-precedence,1
pascal,binary-operator,<>
pascal,binary-precedence,1
pascal,binary-operator,<
pascal,binary-precedence,1
pascal,binary-operator,>
pascal,binary-precedence,1
pascal,binary-operator,<=
pascal,binary-precedence,1
pascal,binary-operator,>=
pascal,binary-precedence,1
pascal,binary-operator,in
pascal,binary-precedence,1
pascal,unary-operator,not
pascal,unary-precedence,4
pascal,function-definition,arguments-type-checked
pascal,function-definition,pass-by-value
