language,trait,value
algol68,binary-precedence,1
algol68,binary-operator,+=:
algol68,binary-precedence,1
algol68,unary-operator,not
algol68,unary-precedence,10
algol68,unary-operator,~
algol68,unary-precedence,10
algol68,unary-operator,up
algol68,unary-precedence,10
algol68,unary-operator,down
algol68,unary-precedence,10
algol68,unary-operator,lwb
algol68,unary-precedence,10
algol68,unary-operator,upb
algol68,unary-precedence,10
algol68,unary-operator,-
algol68,unary-precedence,10
algol68,unary-operator,abs
algol68,unary-precedence,10
algol68,unary-operator,arg
algol68,unary-precedence,10
algol68,unary-operator,bin
algol68,unary-precedence,10
algol68,unary-operator,entier
algol68,unary-precedence,10
algol68,unary-operator,leng
algol68,unary-precedence,10
algol68,unary-operator,level
algol68,unary-precedence,10
algol68,unary-operator,odd
algol68,unary-precedence,10
algol68,unary-operator,repr
algol68,unary-precedence,10
algol68,unary-operator,round
algol68,unary-precedence,10
algol68,unary-operator,shorten
algol68,unary-precedence,10
algol68,function-definition,arguments-type-checked
algol68,function-definition,pass-by-value
algol68,function-definition,pass-by-reference
c90,wikipedia,general-purpose
c90,wikipedia,weight
c90,keyword,auto
c90,keyword,break
c90,keyword,case
c90,keyword,char
c90,keyword,const
c90,keyword,continue
c90,keyword,default
c90,keyword,do
c90,keyword,double
c90,keyword,else
c90,keyword,enum
c90,keyword,extern
c90,keyword,float
c90,keyword,for
c90,keyword,goto
c90,keyword,if
c90,keyword,int
c90,keyword,long
c90,keyword,register
c90,keyword,return
c90,keyword,short
c90,keyword,signed
c90,keyword,sizeof
c90,keyword,static
c90,keyword,struct
c90,keyword,switch
c90,keyword,typedef
c90,keyword,union
c90,keyword,unsigned
c90,keyword,void
c90,keyword,volatile
c90,keyword,while
c90,comment,to-end-of-line
c90,comment,start
c90,comment,end
c90,white-space,significant
c90,white-space,free-form
c90,white-space,line-continuation
c90,white-space,backslash
c90,identifier,case-significant
c90,identifier,characters-significant
c90,literal,integer-decimal
c90,literal,integer-hexadecimal
c90,literal,integer-octal
c90,literal,integer-character
c90,literal,floating-point
c90,literal,string
c90,control-flow,{
c90,control-flow,}
c90,control-flow,switch
c90,control-flow,goto
c90,control-flow,break
c90,control-flow,continue
c90,control-flow,if
c90,control-flow,else
c90,control-flow,for
c90,control-flow,while
c90,control-flow,do
c90,expression,infix
c90,expression,left-associative
c90,ternary-operator,?:
c90,ternary-precedence,2
c90,binary-operator,[]
c90,binary-precedence,16
c90,binary-operator,.
c90,binary-precedence,16
c90,binary-operator,->
c90,binary-precedence,16
c90,binary-operator,*
c90,binary-precedence,13
c90,binary-operator,/
c90,binary-precedence,13
c90,binary-operator,%
c90,binary-precedence,13
c90,binary-operator,+
c90,binary-precedence,12
c90,binary-operator,-
c90,binary-precedence,12
c90,binary-operator,<<
c90,binary-precedence,11
c90,binary-operator,>>
c90,binary-precedence,11
c90,binary-operator,<
c90,binary-precedence,9
c90,binary-operator,<=
c90,binary-precedence,9
c90,binary-operator,>
c90,binary-precedence,9
c90,binary-operator,>=
c90,binary-precedence,9
c90,binary-operator,==
c90,binary-precedence,8
c90,binary-operator,!=
c90,binary-precedence,8
c90,binary-operator,&
c90,binary-precedence,7
c90,binary-operator,^
c90,binary-precedence,6
c90,binary-operator,|
c90,binary-precedence,5
c90,binary-operator,&&
c90,binary-precedence,4
c90,binary-operator,||
c90,binary-precedence,3
c90,binary-operator,+=
c90,binary-precedence,2
c90,binary-operator,-=
c90,binary-precedence,2
c90,binary-operator,*=
c90,binary-precedence,2
c90,binary-operator,/=
c90,binary-precedence,2
c90,binary-operator,%=
c90,binary-precedence,2
c90,binary-operator,<<=
c90,binary-precedence,2
c90,binary-operator,>>=
c90,binary-precedence,2
c90,binary-operator,&=
c90,binary-precedence,2
c90,binary-operator,^=
c90,binary-precedence,2
c90,binary-operator,|=
c90,binary-precedence,2
c90,binary-operator,","
c90,binary-precedence,1
c90,unary-operator,++
c90,unary-precedence,15
c90,unary-operator,--
c90,unary-precedence,15
c90,unary-operator,+
c90,unary-precedence,15
c90,unary-operator,-
c90,unary-precedence,15
c90,unary-operator,!
c90,unary-precedence,15
c90,unary-operator,~
c90,unary-precedence,15
c90,unary-operator,*
c90,unary-precedence,15
c90,unary-operator,&
c90,unary-precedence,15
c90,unary-operator,sizeof
c90,unary-precedence,15
c90,unary-operator,_Alignof
c90,unary-precedence,15
c90,declaration,struct
c90,declaration,union
c90,declaration,int
c90,declaration,float
c90,declaration,enum
c90,declaration,*
c90,statement,semicolon
c90,statement,file-import
c90,statement,#include
c90,function-definition,arguments-not-checked
c90,function-definition,arguments-type-checked
c90,function-definition,variadic-arguments
c90,function-definition,pass-by-value
cobol68,wikipedia,compiled
cobol68,wikipedia,English-like
cobol68,keyword,ACCEPT
cobol68,keyword,ACCESS
cobol68,keyword,ACTUAL
cobol68,keyword,ADD
cobol68,keyword,ADDRESS
cobol68,keyword,ADVANCING
cobol68,keyword,AFTER
cobol68,keyword,ALL
cobol68,keyword,ALPHABETIC
cobol68,keyword,ALTER
cobol68,keyword,ALTERNATE
cobol68,keyword,AND
cobol68,keyword,ARE
cobol68,keyword,AREA
cobol68,keyword,AREAS
cobol68,keyword,ASCENDING
cobol68,keyword,ASSIGN
cobol68,keyword,AT
cobol68,keyword,AUTHOR
cobol68,keyword,BEFORE
cobol68,keyword,BEGINNING
cobol68,keyword,BLANK
cobol68,keyword,BLOCK
cobol68,keyword,BY
cobol68,keyword,CF
cobol68,keyword,CH
cobol68,keyword,CHARACTERS
cobol68,keyword,CLOCK-UNITS
cobol68,keyword,CLOSE
cobol68,keyword,COBOL
cobol68,keyword,CODE
cobol68,keyword,COLUMN
cobol68,keyword,COMMA
cobol68,keyword,COMP
cobol68,keyword,COMPUTATIONAL
cobol68,keyword,COMPUTE
cobol68,keyword,CONFIGURATION
cobol68,keyword,CONTAINS
cobol68,keyword,CONTROL
cobol68,keyword,CONTROLS
cobol68,keyword,COPY
cobol68,keyword,CORR
cobol68,keyword,CORRSPONDING
cobol68,keyword,CURRENCY
cobol68,keyword,DATA
cobol68,keyword,DATE-WRITTEN
cobol68,keyword,DE
cobol68,keyword,DECIMAL-POINT
cobol68,keyword,DECLARATIVES
cobol68,keyword,DEPENDING
cobol68,keyword,DESCENDING
cobol68,keyword,DETAIL
cobol68,keyword,DISPLAY
cobol68,keyword,DIVIDE
cobol68,keyword,DIVISION
cobol68,keyword,DOWN
cobol68,keyword,ELSE
cobol68,keyword,END
cobol68,keyword,ENDING
cobol68,keyword,ENTER
cobol68,keyword,ENVIRONMENT
cobol68,keyword,EQUAL
cobol68,keyword,ERROR
cobol68,keyword,EVERY
cobol68,keyword,EXAMINE
cobol68,keyword,EXIT
cobol68,keyword,FD
cobol68,keyword,FILE
cobol68,keyword,FILE-CONTROL
cobol68,keyword,FILE-LIMIT
cobol68,keyword,FILE-LIMITS
cobol68,keyword,FILLER
cobol68,keyword,FINAL
cobol68,keyword,FIRST
cobol68,keyword,FOOTING
cobol68,keyword,FOR
cobol68,keyword,FREED
cobol68,keyword,FROM
cobol68,keyword,GENERATE
cobol68,keyword,GIVING
cobol68,keyword,GO
cobol68,keyword,GREATER
cobol68,keyword,GROUP
cobol68,keyword,HEADING
cobol68,keyword,HIGH-VALUE
cobol68,keyword,HIGH-VALUES
cobol68,keyword,I-O
cobol68,keyword,I-OCONTROL
cobol68,keyword,IDENTIFICATION
cobol68,keyword,IF
cobol68,keyword,IN
cobol68,keyword,INDEX
cobol68,keyword,INDEXED
cobol68,keyword,INDICATE
cobol68,keyword,INITIATE
cobol68,keyword,INPUT
cobol68,keyword,INPUT-OUTPUT
cobol68,keyword,INSTALLATION
cobol68,keyword,INTO
cobol68,keyword,INVALID
cobol68,keyword,IS
cobol68,keyword,JUST
cobol68,keyword,JUSTIFIED
cobol68,keyword,KEY
cobol68,keyword,KEYS
cobol68,keyword,LABEL
cobol68,keyword,LAST
cobol68,keyword,LEADING
cobol68,keyword,LEFT
cobol68,keyword,LENGTH
cobol68,keyword,LESS
cobol68,keyword,LIMIT
cobol68,keyword,LIMITS
cobol68,keyword,LINE
cobol68,keyword,LINE-COUNTER
cobol68,keyword,LINES
cobol68,keyword,LOCK
cobol68,keyword,LOW-VALUE
cobol68,keyword,LOW-VALUES
cobol68,keyword,MEMORY
cobol68,keyword,MODE
cobol68,keyword,MODULES
cobol68,keyword,MOVE
cobol68,keyword,MULTIPLE
cobol68,keyword,MULTIPLY
cobol68,keyword,NEGATIVE
cobol68,keyword,NEXT
cobol68,keyword,NO
cobol68,keyword,NOT
cobol68,keyword,NOTE
cobol68,keyword,NUMBER
cobol68,keyword,NUMERIC
cobol68,keyword,OBJECT-COMPUTER
cobol68,keyword,OCCURS
cobol68,keyword,OF
cobol68,keyword,OFF
cobol68,keyword,OMITTED
cobol68,keyword,ON
cobol68,keyword,OPEN
cobol68,keyword,OPTIONAL
cobol68,keyword,OR
cobol68,keyword,OTHERS
cobol68,keyword,OUTPUT
cobol68,keyword,PAGE-COUNTER
cobol68,keyword,PERFORM
cobol68,keyword,PF
cobol68,keyword,PH
cobol68,keyword,PIC
cobol68,keyword,PICTURE
cobol68,keyword,PLUS
cobol68,keyword,POSITION
cobol68,keyword,POSITIVE
cobol68,keyword,PROCEDURE
cobol68,keyword,PROCEED
cobol68,keyword,PROCESSING
cobol68,keyword,PROGRAM-ID
cobol68,keyword,QUOTE
cobol68,keyword,QUOTES
cobol68,keyword,RANDOM
cobol68,keyword,RD
cobol68,keyword,READ
cobol68,keyword,RECORD
cobol68,keyword,RECORDS
cobol68,keyword,REDEFINES
cobol68,keyword,REEL
cobol68,keyword,RELEASE
cobol68,keyword,REMARKS
cobol68,keyword,RENAMES
cobol68,keyword,REPLACING
cobol68,keyword,REPORT
cobol68,keyword,REPORTING
cobol68,keyword,REPORTS
cobol68,keyword,RERUN
cobol68,keyword,RESERVE
cobol68,keyword,RESET
cobol68,keyword,RETRUN
cobol68,keyword,REVERSED
cobol68,keyword,REWIND
cobol68,keyword,RF
cobol68,keyword,RH
cobol68,keyword,RIGHT
cobol68,keyword,ROUNDED
cobol68,keyword,RUN
cobol68,keyword,SAME
cobol68,keyword,SD
cobol68,keyword,SEARCH
cobol68,keyword,SECTION
cobol68,keyword,SECURITY
cobol68,keyword,SEEK
cobol68,keyword,SEGMENT-LIMIT
cobol68,keyword,SELECT
cobol68,keyword,SENTENCE
cobol68,keyword,SEQUENTIAL
cobol68,keyword,SET
cobol68,keyword,SIGN
cobol68,keyword,SIZE
cobol68,keyword,SORT
cobol68,keyword,SOURCE
cobol68,keyword,SOURCE-COMPUTER
cobol68,keyword,SPACE
cobol68,keyword,SPACES
cobol68,keyword,SPECIAL-NAMES
cobol68,keyword,STANDARD
cobol68,keyword,STATUS
cobol68,keyword,STOP
cobol68,keyword,SUBTRACT
cobol68,keyword,SUM
cobol68,keyword,SYNC
cobol68,keyword,SYNCHRONIZED
cobol68,keyword,TALLY
cobol68,keyword,TALLYING
cobol68,keyword,TAPEL
cobol68,keyword,TERMINATE
cobol68,keyword,THAN
cobol68,keyword,THROUGH
cobol68,keyword,THRU
cobol68,keyword,TIMES
cobol68,keyword,TO
cobol68,keyword,TODAY
cobol68,keyword,TYPE
cobol68,keyword,UNIT
cobol68,keyword,UNTIL
cobol68,keyword,UP
cobol68,keyword,UPON
cobol68,keyword,USAGE
cobol68,keyword,USE
cobol68,keyword,USING
cobol68,keyword,VALUE
cobol68,keyword,VALUES
cobol68,keyword,VARYING
cobol68,keyword,WHEN
cobol68,keyword,WITH
cobol68,keyword,WORDS
cobol68,keyword,WORKING-STORAGE
cobol68,keyword,WRITE
cobol68,keyword,ZERO
cobol68,keyword,ZEROES
cobol68,keyword,ZEROS
cobol68,binary-operator,**
cobol68,binary-precedence,6
cobol68,binary-operator,^
cobol68,binary-precedence,6
cobol68,binary-operator,*
cobol68,binary-precedence,5
cobol68,binary-operator,/
cobol68,binary-precedence,5
cobol68,binary-operator,+
cobol68,binary-precedence,4
cobol68,binary-operator,-
cobol68,binary-precedence,4
cobol68,binary-operator,greater_than
cobol68,binary-precedence,3
cobol68,binary-operator,>_than
cobol68,binary-precedence,3
cobol68,binary-operator,not_greater_than
cobol68,binary-precedence,3
cobol68,binary-operator,not_>_than
cobol68,binary-precedence,3
cobol68,binary-operator,less_than
cobol68,binary-precedence,3
cobol68,binary-operator,<_than
cobol68,binary-precedence,3
cobol68,binary-operator,not_less_than
cobol68,binary-precedence,3
cobol68,binary-operator,not_<_than
cobol68,binary-precedence,3
cobol68,binary-operator,equal_to
cobol68,binary-precedence,3
cobol68,binary-operator,=_to
cobol68,binary-precedence,3
cobol68,binary-operator,not_equal_to
cobol68,binary-precedence,3
cobol68,binary-operator,not_=_to
cobol68,binary-precedence,3
cobol68,binary-operator,is
cobol68,binary-precedence,2
cobol68,binary-operator,is_not
cobol68,binary-precedence,2
cobol68,binary-operator,and
cobol68,binary-precedence,1
cobol68,binary-operator,or
cobol68,binary-precedence,1
cobol68,binary-operator,not
cobol68,binary-precedence,1
cobol68,unary-operator,+
cobol68,unary-precedence,7
cobol68,unary-operator,-
cobol68,unary-precedence,7
cobol68,function-definition,label
cpp98,wikipedia,general-purpose
cpp98,wikipedia,weight
cpp98,keyword,and
cpp98,keyword,and_eq
cpp98,keyword,asm
cpp98,keyword,auto
cpp98,keyword,bitand
cpp98,keyword,bitor
cpp98,keyword,bool
cpp98,keyword,break
cpp98,keyword,case
cpp98,keyword,catch
cpp98,keyword,char
cpp98,keyword,class
cpp98,keyword,compl
cpp98,keyword,const
cpp98,keyword,const_cast
